# porosity ,number_in_bin ,mean ,std ,skewness ,log-mean ,log-std ,shapiro_5 ,dagostino_5 ,anderson_15 ,anderson_5 ,anderson_1
0.010,1.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,2.000,2.000,2.000
0.030,39.000,0.005,0.001,1.070,-5.331,0.282,0.000,0.000,0.000,0.000,1.000
0.050,128.000,0.007,0.003,1.193,-5.089,0.391,0.000,0.000,0.000,0.000,0.000
0.070,142.000,0.008,0.004,0.928,-4.942,0.437,0.000,0.000,0.000,0.000,0.000
0.090,134.000,0.010,0.005,1.294,-4.705,0.458,0.000,0.000,0.000,0.000,0.000
0.110,164.000,0.011,0.006,1.623,-4.647,0.473,0.000,0.000,0.000,0.000,0.000
0.130,153.000,0.013,0.007,1.703,-4.498,0.531,0.000,0.000,0.000,0.000,0.000
0.150,171.000,0.015,0.009,1.194,-4.387,0.580,0.000,0.000,0.000,0.000,0.000
0.170,162.000,0.018,0.010,1.172,-4.188,0.572,0.000,0.000,0.000,0.000,0.000
0.190,184.000,0.022,0.011,0.337,-3.950,0.578,0.000,0.000,0.000,0.000,0.000
0.210,201.000,0.025,0.013,0.861,-3.846,0.575,0.000,0.000,0.000,0.000,0.000
0.230,188.000,0.030,0.015,0.639,-3.642,0.561,0.000,0.000,0.000,0.000,0.000
0.250,163.000,0.037,0.018,0.507,-3.439,0.596,0.000,0.000,0.000,1.000,1.000
0.270,151.000,0.041,0.019,0.236,-3.329,0.554,1.000,1.000,1.000,1.000,1.000
0.290,148.000,0.050,0.021,0.015,-3.108,0.536,1.000,1.000,1.000,1.000,1.000
0.310,137.000,0.059,0.022,0.119,-2.917,0.465,1.000,1.000,1.000,1.000,1.000
0.330,115.000,0.069,0.024,-0.160,-2.749,0.441,1.000,1.000,1.000,1.000,1.000
0.350,138.000,0.073,0.030,-0.098,-2.741,0.580,1.000,1.000,0.000,1.000,1.000
0.370,128.000,0.089,0.030,-0.467,-2.503,0.469,0.000,1.000,0.000,1.000,1.000
0.390,128.000,0.096,0.035,-0.518,-2.456,0.569,0.000,1.000,0.000,0.000,0.000
0.410,120.000,0.112,0.034,-0.412,-2.255,0.391,1.000,1.000,1.000,1.000,1.000
0.430,93.000,0.129,0.034,-1.133,-2.113,0.429,0.000,0.000,0.000,0.000,0.000
0.450,85.000,0.140,0.040,-0.963,-2.032,0.415,0.000,0.000,0.000,0.000,0.000
0.470,80.000,0.156,0.037,-0.668,-1.895,0.290,0.000,0.000,0.000,0.000,1.000
0.490,63.000,0.171,0.038,-0.842,-1.795,0.266,0.000,0.000,0.000,0.000,0.000
0.510,57.000,0.196,0.041,-1.620,-1.675,0.408,0.000,0.000,0.000,0.000,1.000
0.530,65.000,0.208,0.039,-0.691,-1.593,0.216,0.000,1.000,0.000,1.000,1.000
0.550,59.000,0.227,0.047,-2.141,-1.521,0.328,0.000,0.000,0.000,0.000,0.000
0.570,40.000,0.248,0.043,-0.696,-1.412,0.190,1.000,1.000,0.000,0.000,1.000
0.590,46.000,0.274,0.040,-0.490,-1.306,0.155,1.000,1.000,0.000,0.000,1.000
0.610,29.000,0.294,0.041,-1.095,-1.235,0.156,0.000,0.000,0.000,1.000,1.000
0.630,24.000,0.332,0.036,-0.378,-1.110,0.112,1.000,1.000,1.000,1.000,1.000
0.650,25.000,0.352,0.031,-0.489,-1.049,0.089,0.000,0.000,0.000,0.000,0.000
0.670,29.000,0.376,0.027,-0.079,-0.981,0.073,1.000,1.000,1.000,1.000,1.000
0.690,17.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,2.000,2.000,2.000
0.710,11.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,2.000,2.000,2.000
0.730,18.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,2.000,2.000,2.000
0.750,7.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,2.000,2.000,2.000
0.770,13.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,2.000,2.000,2.000
0.790,5.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,2.000,2.000,2.000
0.810,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,2.000,2.000,2.000
0.830,2.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,2.000,2.000,2.000
0.850,1.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,2.000,2.000,2.000
0.870,3.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,2.000,2.000,2.000
0.890,1.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,2.000,2.000,2.000
0.910,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,2.000,2.000,2.000
0.930,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,2.000,2.000,2.000
0.950,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,2.000,2.000,2.000
0.970,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,2.000,2.000,2.000
0.990,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,2.000,2.000,2.000
